vocab_id,content
1,Cả lớp sung sướng vì cuối tuần được đi trải cùng nhau.
1,Bé sung sướng khi được đi chơi công viên.
2,"Mùa xuân, cây cối dâm chồi nảy lộc"
3,"Hè về, cây cối đơm trái sai trĩu quả."
4,Em bé tinh nghịch chạy quanh nhà
5,Trung Thu là tết của thiếu nhi
6,"Mỗi tối, em đều thủ thỉ nói chuyện với mẹ"
6,Giọng bà thủ thỉ bên tai em
7,Ánh lửa bập bùng thật ấm áp!
7,Ngọn đuốc bập bùng cháy trong đêm
8,Em ấp ủ ước mơ được trở thành cô giáo
8,Gà mẹ ấp ủ đàn con
9,Tháng 8 là mùa nước nổi ở quê em
10,Cô ấy có một nụ cười hiền hòa rất dễ thương.
10,Dòng sông chảy hiền hòa giữa hai bờ xanh mướt.
11,Trời mưa dầm dề cả sáng
11,bạn Mai bị ốm dầm dề từ tuần trước
12,"Vì nhớ mẹ, em khóc sướt mướt cả buổi."
12,Giọng hát của ca sĩ buồn sướt mướt
13,Nước sông đục ngàu phù sa
13,"Hai bên sông, đất đai màu mỡ bởi có phù sa bồi đắp"
14,Đàn cá ròng ròng bơi lội tung tăng dưới ao.
14,"Sau cơn mưa, rất nhiều cá ròng ròng xuất hiện ở ruộng nước."
14,Những con cá ròng ròng nhỏ xíu bơi theo cá mẹ.
14,Bọn trẻ ra đồng bắt cá ròng ròng.
15,Chúc mọi người năm mới tràn ngập niềm vui và hạnh phúc
15,Bão lớn là đường phố ngập nước
16,Con đường lên bản rất lắt léo và quanh co.
16,Chúng em đi qua những con ngõ nhỏ lắt léo.
16,Thầy giáo đưa ra một câu hỏi khá lắt léo.
16,Lối đi trong rừng lắt léo khiến chúng em phải đi rất cẩn thận.
17,Chim họa mi hót líu lo trên cành cây.
17,"Buổi sáng, em nghe tiếng chim họa mi rất vui tai."
17,Con chim họa mi nhỏ bé nhưng hót rất hay.
18,"Trong giờ văn nghệ, cả lớp cất tiếng hát vang lừng"
18,Tiếng trống trường vang lừng khắp sân trường.
18,Tên tuổi của người anh hùng vang lừng khắp nơi.
18,Tiếng hát của chị ấy vang lừng trong hội trường.
19,Cảnh vật ở đây đẹp kì diệu như tranh
19,Thiên nhiên mang đến nhiều điều kì diệu.
19,Câu chuyện cổ tích thật kì diệu.
19,Cuộc sống có rất nhiều điều kì diệu quanh ta.
20,"Ngoài vườn, trăm hoa đua nở rực rỡ."
20,Những bông hoa nở rực rỡ trong vườn.
20,Pháo hoa rực rỡ trên bầu trời đêm.
