id,van_ban,tu_vung,giai_nghia_chuan,nghia_tinh_gon,hinh_anh,am_thanh,video,minh_hoa_khac,tu_lien_quan,cau_minh_hoa,ghi_chu
1,Yêu cầu học sinh đọc nghĩa từ và xem các ví dụ minh họa trong ngữ cảnh.,sung sướng,"trạng thái vui vẻ, thích thú, cảm thấy được thoả mãn về vật chất hoặc tinh thần","rất vui vẻ, hài lòng",sung sướng. ảnh.jpg,,,,"nụ cười sung sướng
cuộc sống sung sướng","- Cả lớp sung sướng vì cuối tuần được đi trải cùng nhau.
- Bé sung sướng khi được đi chơi công viên.",
2,Yêu cầu học sinh đọc nghĩa từ và xem các ví dụ minh họa trong ngữ cảnh.,đâm chồi nảy lộc,mọc ra những mầm non,"cây mọc ra lá mới, ra hoa",,, TIMELAPSE ĐÂM CHỒI NẢY LỘC.mp4,,cây cối đâm chồi nảy lộc,"- Mùa xuân, cây cối dâm chồi nảy lộc",*
3,"Phân tích cùng học sinh 1–2 ví dụ: nghĩa từ, vị trí trong câu, sắc thái ngữ nghĩa.",đơm trái,mọc ra trái ngọt,mọc ra trái ngọt,đơm trái.png,,,,"đơm hoa kết trái
Ra quả
","- Hè về, cây cối đơm trái sai trĩu quả.",*
4,"Phân tích cùng học sinh 1–2 ví dụ: nghĩa từ, vị trí trong câu, sắc thái ngữ nghĩa.",tinh nghịch,"hay đùa nghịch một cách tinh ranh, láu lỉnh","hay đùa nghich, nghịch ngợm",tinh nghịch.png,,,,"cậu bé/ cô bé tinh nghịch
trò đùa tinh nghịch
đồng nghĩa: nghịch ngợm
tráii nghĩa: ngoan ngoãn",Em bé tinh nghịch chạy quanh nhà,
5,Đặt câu hỏi gợi mở để làm rõ cách dùng từ.,thiếu nhi,"trẻ em thuộc các lứa tuổi thiếu niên, nhi đồng",trẻ em từ 6 - 14 tuổi,thiếu nhi.png,,,,"Tết Thiếu nhi
các em thiếu nhi",Trung Thu là tết của thiếu nhi,
6,Đặt câu hỏi gợi mở để làm rõ cách dùng từ.,thủ thỉ,"nói nhỏ nhẹ, thong thả, vừa đủ để cho nhau nghe, thường là để thổ lộ tình cảm, tâm tình","nói nhỏ, nói nhẹ nhàng, chỉ để người bên cạnh nghe để thể hiện tình cảm, tâm sự",thủ thỉ.png,,,,"giọng thủ thỉ
thủ thỉ tâm sự
đồng nghĩa: nói nhỏ nhẹ
trái nghĩa: nói to","Mỗi tối, em đều thủ thỉ nói chuyện với mẹ
Giọng bà thủ thỉ bên tai em",
7,Tổng kết lại điểm chính về nghĩa và cách dùng.,bập bùng,"từ gợi tả vật cháy không đều, khi bốc cao, khi hạ thấp một cách nhịp nhàng","gợi tả ánh lửa cháy không đều, khi bốc cao, khi hạ thấp",,,  bập bùng. video.mp4,,"ngọn lửa bập bùng
bếp lửa bập bùng
ngọn đuốc bập bùng","Ánh lửa bập bùng thật ấm áp!
Ngọn đuốc bập bùng cháy trong đêm
",
8,Tổng kết lại điểm chính về nghĩa và cách dùng.,ấp ủ,"[1] ôm trong lòng và giữ cho được ấm
[2] nuôi giữ trong lòng một cách trân trọng","giữ gìn một điều tốt đẹp trong lòng, luôn nghĩ đến và yêu quý nó",,,https://drive.google.com/file/d/1-XDXQI9SZTZCweRLP7nljuOJCnmSzFEB/view?usp=drivesdk,,"dự định ấp ủ
ấp ủ hy vọng","Em ấp ủ ước mơ được trở thành cô giáo
Gà mẹ ấp ủ đàn con",
9,"Bài 2: 
Mùa nước nổi",nước nổi,"cách gọi địa phương chỉ hiện tượng lũ lụt tự nhiên ở Đồng bằng sông Cửu Long Việt Nam, thường bắt đầu từ tháng 7 âm lịch đến tháng 10 âm lịch"," hiện tượng lũ lụt tự nhiên ở Đồng bằng sông Cửu Long Việt Nam, còn gọi là nước lũ",,, nước nổi. video.mp4,,"mùa nước nổi Miền Tây
Đồng nghĩa: nước lũ","Tháng 8 là mùa nước nổi ở quê em
",
10,"Bài 2: 
Mùa nước nổi",hiền hòa,"từ chỉ tính cách nhẹ nhàng, dịu dàng, không nóng nảy, không xung đột, thường được dùng để miêu tả con người có tâm hồn bình yên, biết chia sẻ và tôn trọng người khác.","từ chỉ những người nhẹ nhàng, dịu dàng, biết chia sẻ và nhường nhịn người khác",,, hiền hoà.mp4,,"nụ cười hiền hòa
giọng nói  hiền hòa
dòng dông hiền hòa","- Cô ấy có một nụ cười hiền hòa rất dễ thương.
- Dòng sông chảy hiền hòa giữa hai bờ xanh mướt.",
11,"Bài 2: 
Mùa nước nổi",dầm dề,"[1] thấm nước nhiều và ướt khắp cả
[2] kéo dài liên miên","bị ướt nhiều vì nước;
xảy ra lâu, mãi không dừng lại",l,, dầm dề. video.mp4,,"mưa dầm dề: mưa lâu mãi không tạnh
ốm dầm dề: ốm mãi chưa khỏi","- Trời mưa dầm dề cả sáng
- bạn Mai bị ốm dầm dề từ tuần trước",
12,"Bài 2: 
Mùa nước nổi",sướt mướt,"[1] (khóc) nhiều và lâu không dứt, nước mắt đầm đìa, 
[2] có tác dụng gây tâm trạng buồn bã, yếu đuối và dai dẳng không dứt","từ chỉ trạng thái khóc nhiều, lâu không dứt, gây ra tâm trạng buồn bã kéo dài",,, sướt mướt.mp4,,"khóc sướt mướt
giọng ca sướt mướt","- Vì nhớ mẹ, em khóc sướt mướt cả buổi.
- Giọng hát của ca sĩ buồn sướt mướt",
13,"Bài 2: 
Mùa nước nổi",phù sa,"đất, cát mịn và có nhiều chất màu được cuốn trôi theo dòng nước hoặc lắng đọng lại ở bờ sông, bãi bồi","đất, cát mịn được cuốn theo dòng nước hoặc đọng lại ở bờ sông, bãi bồi",phù sa. ảnh.jpg,,,,"đất phù sa màu mỡ
được phù sa bồi đắp","- Nước sông đục ngàu phù sa
- Hai bên sông, đất đai màu mỡ bởi có phù sa bồi đắp",*
14,"Bài 2: 
Mùa nước nổi",cá ròng ròng,"một loại cá nhỏ đặc trưng, thường được bắt vào mùa mưa, khi nguồn cá tự nhiên trở nên dồi dào. Đặc điểm của cá ròng ròng là thân nhỏ, thịt mềm và vị ngọt tự nhiên","một loài cá thân nhỏ bằng ngón tay út, thường được bắt vào mùa mưa",cá ròng ròng. ảnh.jpg,,,,"đàn cá ròng ròng
cá ròng ròng mới nở
bắt cá ròng ròng","Đàn cá ròng ròng bơi lội tung tăng dưới ao.

Sau cơn mưa, rất nhiều cá ròng ròng xuất hiện ở ruộng nước.

Những con cá ròng ròng nhỏ xíu bơi theo cá mẹ.

Bọn trẻ ra đồng bắt cá ròng ròng.",*
15,"Bài 2: 
Mùa nước nổi",ngập,"[1] (chất lỏng) tràn lên và phủ kín hoàn toàn
[2] ở sâu dưới bề mặt một khối gì đó, bị phủ lấp hết hoặc gần hết
[3] có nhiều và khắp cả trên một diện tích, đến mức như bao phủ, che lấp tất cả","mang hàm ý che phủ, phủ lấp
- tràn lên và phủ kín hoàn toàn (mưa ngập đường)
- chìm sâu dưới một bề mặt (chân ngập dưới bùn)
- có nhiều trên 1 diện tích đến mức có thể che phủ (đồng cỏ ngập hoa)",ngập. ảnh.jpg,,,,"ngập nước, ngập lụt, chìm trong nước 

tràn ngập, đầy ắp

trái nghĩa: khô ráo, cạn nước 

từ thường dùng: đường phố ngập, ruộng bị ngập","- Chúc mọi người năm mới tràn ngập niềm vui và hạnh phúc
- Bão lớn là đường phố ngập nước",
16,"Bài 2: 
Mùa nước nổi",lắt léo,"quanh co, ngoắt ngoéo","không thẳng, có nhiều lỗi rẽ quanh cô, phức tạp",lắt léo.ảnh.webp,,,,"con đường lắt léo

ngõ lắt léo

câu hỏi lắt léo

lối đi lắt léo","Con đường lên bản rất lắt léo và quanh co.

Chúng em đi qua những con ngõ nhỏ lắt léo.

Thầy giáo đưa ra một câu hỏi khá lắt léo.

Lối đi trong rừng lắt léo khiến chúng em phải đi rất cẩn thận.",
17,"Bài 3:
Họa mi hót",chim họa mi,"Chim họa mi là chim cảnh có khả năng hót hay và đá giỏi, thuộc họ chim sâu.","Chim họa mi là chim cảnh có khả năng hót hay và đá giỏi, thuộc họ chim sâu.",chim họa mi. ảnh.jfif,,,,"chim họa mi hót, tiếng chim họa mi

chim sơn ca, chim chích chòe ","Chim họa mi hót líu lo trên cành cây.

Buổi sáng, em nghe tiếng chim họa mi rất vui tai.

Con chim họa mi nhỏ bé nhưng hót rất hay.",
18,"Bài 3:
Họa mi hót",vang lừng,"vang lên và truyền đi rất xa, như ở đâu cũng nghe thấy",tiếng hay và lan ra rất xa,,, vang lừng.mp4,,"đồng nghĩa: vang xa, vang dội 

nổi tiếng, lừng danh

trái nghĩa: im lặng, không ai biết 

cụm từ thường dùng: tiếng hát vang lừng","- Trong giờ văn nghệ, cả lớp cất tiếng hát vang lừng

Tiếng trống trường vang lừng khắp sân trường.

Tên tuổi của người anh hùng vang lừng khắp nơi.

Tiếng hát của chị ấy vang lừng trong hội trường.",
19,"Bài 3:
Họa mi hót",kì diệu,"có cái gì vừa rất lạ lùng như không cắt nghĩa nổi, vừa làm cho người ta phải ca ngợi, phải khâm phục","điều lạ lùng xảy ra làm người khác phải ngạc nhiên, ca ngợi",,,kì diệu,,"phát minh kì diệu
khả năng kì diệu
đồng nghĩa: thần kì, diệu kì, đặc biệt, tuyệt vời

trái nghĩa: bình thường, tầm thường
","- Cảnh vật ở đây đẹp kì diệu như tranh 

Thiên nhiên mang đến nhiều điều kì diệu.

Câu chuyện cổ tích thật kì diệu.

Cuộc sống có rất nhiều điều kì diệu quanh ta.",
20,"Bài 3:
Họa mi hót",rực rỡ,"có màu sắc tươi sáng đẹp đẽ và nổi bật hẳn lên, làm cho ai cũng phải chú ý","màu sắc tươi sáng, nổi bật, làm người khác phải chú ý",rực rỡ. ảnh.png,,,,"cụm từ thường dùng: màu sắc rực rỡ

nắng rực rỡ

đồng nghĩa: tươi sáng, chói lọi 

trái nghĩa: tối tăm, nhạt nhòa 
","- Ngoài vườn, trăm hoa đua nở rực rỡ.

Những bông hoa nở rực rỡ trong vườn.

Pháo hoa rực rỡ trên bầu trời đêm.

Cô bé mặc chiếc váy màu đỏ rất rực rỡ.",
21,"Bài 3:
Họa mi hót",lấp lánh,"có ánh sáng phản chiếu không liên tục, nhưng đều đặn, vẻ sinh động","sáng nhưng không liên tục, nhấp nháy rất đẹp",lấp lánh. ảnh.jpg,,,,"đồng nghĩa: lung linh, lóng lánh

cụm từ thường dùng: sáng lấp lánh, tỏa sáng

trái nghĩa: tối mờ, mờ nhạt ","- Những ngôi sao sáng lấp lánh giữa bầu trời đêm.

Giọt sương lấp lánh dưới ánh nắng.

Đôi mắt em bé lấp lánh niềm vui.",
22,"Bài 3:
Họa mi hót",nhẹ nhàng,"có tính chất nhẹ, cảm giác khoan khoái, dễ chịu không gây cảm giác gì nặng nề hoặc khó chịu vì không vướng bận gì","cảm giác nhẹ, dễ chịu, thoải mái, không khó chịu gì",,, nhẹ nhàng.mp4,,"hương thơm nhẹ nhàng
tâm hồ nhẹ nhàng

đồng nghĩa: êm ái, dịu dàng, từ tốn, chậm rãi

trái nghĩa: mạnh mẽ, dữ dội 

cụm từ thường dùng: giọng nói nhẹ nhàng ","- Ngoài vườn của ngoại, hương ổi, hương cam, hơng bưởi thơm nhẹ nhàng

Cô giáo nói chuyện rất nhẹ nhàng.

Làn gió nhẹ nhàng thổi qua cánh đồng.

Mẹ xoa đầu em rất nhẹ nhàng.",
23,"Bài 3:
Họa mi hót",dìu dặt,lúc nhanh lúc chậm một cách nhịp nhàng và êm nhẹ (thường nói về âm thanh),"âm thanh êm nhẹ, nghe rất nhẹ nhàng",,dìu dặt. sound.mp3,,,"đồng nghĩa: du dương, êm ái 

trái nghĩa: ồn ào, chói tai

cụm từ thường dùng: tiếng nhạc dìu dặt, tiếng sáo dìu dặt
 ","- Âm thanh cây đàn tranh ngân lên dìu dặt, tha thiết.

Tiếng đàn vang lên dìu dặt.

Giai điệu bài hát thật dìu dặt.

Tiếng sáo dìu dặt trong đêm trăng.",*
