id,word,standard_meaning,simplified_meaning,image_url,audio_url,video_url,synonyms,antonyms,is_required,notes
1,sung sướng,"trạng thái vui vẻ, thích thú, cảm thấy được thoả mãn về vật chất hoặc tinh thần","rất vui vẻ, hài lòng",sung sướng. ảnh.jpg,,,{},{},False,
2,đâm chồi nảy lộc,mọc ra những mầm non,"cây mọc ra lá mới, ra hoa",,, TIMELAPSE ĐÂM CHỒI NẢY LỘC.mp4,{},{},True,*
3,đơm trái,mọc ra trái ngọt,mọc ra trái ngọt,đơm trái.png,,,{},{},True,*
4,tinh nghịch,"hay đùa nghịch một cách tinh ranh, láu lỉnh","hay đùa nghich, nghịch ngợm",tinh nghịch.png,,,{nghịch ngợm},{},False,
5,thiếu nhi,"trẻ em thuộc các lứa tuổi thiếu niên, nhi đồng",trẻ em từ 6 - 14 tuổi,thiếu nhi.png,,,{},{},False,
6,thủ thỉ,"nói nhỏ nhẹ, thong thả, vừa đủ để cho nhau nghe, thường là để thổ lộ tình cảm, tâm tình","nói nhỏ, nói nhẹ nhàng, chỉ để người bên cạnh nghe để thể hiện tình cảm, tâm sự",thủ thỉ.png,,,{nói nhỏ nhẹ},{nói to},False,
7,bập bùng,"từ gợi tả vật cháy không đều, khi bốc cao, khi hạ thấp một cách nhịp nhàng","gợi tả ánh lửa cháy không đều, khi bốc cao, khi hạ thấp",,,  bập bùng. video.mp4,{},{},False,
8,ấp ủ,"[1] ôm trong lòng và giữ cho được ấm
[2] nuôi giữ trong lòng một cách trân trọng","giữ gìn một điều tốt đẹp trong lòng, luôn nghĩ đến và yêu quý nó",,,https://drive.google.com/file/d/1-XDXQI9SZTZCweRLP7nljuOJCnmSzFEB/view?usp=drivesdk,{},{},False,
9,nước nổi,"cách gọi địa phương chỉ hiện tượng lũ lụt tự nhiên ở Đồng bằng sông Cửu Long Việt Nam, thường bắt đầu từ tháng 7 âm lịch đến tháng 10 âm lịch"," hiện tượng lũ lụt tự nhiên ở Đồng bằng sông Cửu Long Việt Nam, còn gọi là nước lũ",,, nước nổi. video.mp4,{nước lũ},{},False,
10,hiền hòa,"từ chỉ tính cách nhẹ nhàng, dịu dàng, không nóng nảy, không xung đột, thường được dùng để miêu tả con người có tâm hồn bình yên, biết chia sẻ và tôn trọng người khác.","từ chỉ những người nhẹ nhàng, dịu dàng, biết chia sẻ và nhường nhịn người khác",,, hiền hoà.mp4,{},{},False,
11,dầm dề,"[1] thấm nước nhiều và ướt khắp cả
[2] kéo dài liên miên","bị ướt nhiều vì nước;
xảy ra lâu, mãi không dừng lại",l,, dầm dề. video.mp4,{},{},False,
12,sướt mướt,"[1] (khóc) nhiều và lâu không dứt, nước mắt đầm đìa, 
[2] có tác dụng gây tâm trạng buồn bã, yếu đuối và dai dẳng không dứt","từ chỉ trạng thái khóc nhiều, lâu không dứt, gây ra tâm trạng buồn bã kéo dài",,, sướt mướt.mp4,{},{},False,
